time,open,high,low,close,Volume,Volume MA
2012-01-19T15:30:00+01:00,10.1,10.29,9.9,10.1,3599984,NaN
2012-01-20T15:30:00+01:00,10.1,10.1,9.5,9.73,440069,NaN
2012-01-23T15:30:00+01:00,9.61,9.6395,8.65,9.49,278843,NaN
2012-01-24T15:30:00+01:00,9.47,9.86,9.47,9.85,77795,NaN
2012-01-25T15:30:00+01:00,9.8,10,9.8,9.82,76751,NaN
2012-01-26T15:30:00+01:00,10.04,10.04,9.77,9.81,28064,NaN
2012-01-27T15:30:00+01:00,9.8,9.9666,9.8,9.8,28400,NaN
2012-01-30T15:30:00+01:00,9.79,9.79,9,9.15,93006,NaN
2012-01-31T15:30:00+01:00,9.26,9.26,8.645,9.12,58416,NaN
2012-02-01T15:30:00+01:00,9.21,9.4901,9.11,9.15,124568,NaN
2012-02-02T15:30:00+01:00,9.24,9.24,9.05,9.24,7014,NaN
2012-02-03T15:30:00+01:00,8.6,9.4292,8.56,9.241,259334,NaN
2012-02-06T15:30:00+01:00,9.29,9.29,8.961,9.28,19035,NaN
2012-02-07T15:30:00+01:00,9.28,9.33,9.28,9.32,8868,NaN
2012-02-08T15:30:00+01:00,9.25,9.28,8.68,9.24,27451,NaN
2012-02-09T15:30:00+01:00,9.1,9.3,9.1,9.3,8551,NaN
2012-02-10T15:30:00+01:00,9.23,9.33,8.72,9.26,68857,NaN
2012-02-13T15:30:00+01:00,9.34,9.51,9.1,9.42,102300,NaN
2012-02-14T15:30:00+01:00,9.55,9.55,9.38,9.46,8317,NaN
2012-02-15T15:30:00+01:00,9.47,9.6,9.42,9.52,226927,277127.5
2012-02-16T15:30:00+01:00,9.52,9.84,9.52,9.58,32765,98766.55
2012-02-17T15:30:00+01:00,9.56,9.68,9.5,9.5,59674,79746.8
2012-02-21T15:30:00+01:00,9.55,9.55,9.1,9.24,58011,68705.2
2012-02-22T15:30:00+01:00,9.32,9.41,9.2,9.24,53039,67467.4
2012-02-23T15:30:00+01:00,9.5,9.85,9.5,9.77,67293,66994.5
2012-02-24T15:30:00+01:00,9.75,9.85,9.73,9.82,18860,66534.3
2012-02-27T15:30:00+01:00,9.79,9.81,9.256,9.77,35148,66871.7
2012-02-28T15:30:00+01:00,9.94,10.036,9.61,9.61,133653,68904.05
2012-02-29T15:30:00+01:00,9.88,9.88,9.49,9.57,31635,67565
2012-03-01T15:30:00+01:00,9.66,9.859,9.32,9.54,18530,62263.1
2012-03-02T15:30:00+01:00,9.49,9.71,9.2608,9.71,11393,62482.05
2012-03-05T15:30:00+01:00,9.72,9.7992,9.68,9.7,28773,50954
2012-03-06T15:30:00+01:00,9.7,9.8,9.38,9.57,56118,52808.15
2012-03-07T15:30:00+01:00,9.75,9.9,9.6,9.9,24500,53589.75
2012-03-08T15:30:00+01:00,9.94,9.98,9.62,9.75,46598,54547.1
2012-03-09T15:30:00+01:00,9.76,9.78,9.26,9.39,176749,62957
2012-03-12T14:30:00+01:00,9.36,10,9.36,9.94,46595,61843.9
2012-03-13T14:30:00+01:00,9.94,10,9.741,10,14173,57437.55
2012-03-14T14:30:00+01:00,10,10.1,9.85,9.9,40572,59050.3
2012-03-15T14:30:00+01:00,9.9,10.59,9.9,10.5,96594,52533.65
2012-03-16T14:30:00+01:00,10.57,10.65,10.25,10.35,122514,57021.1
2012-03-19T14:30:00+01:00,10.35,10.3957,10.06,10.18,36240,55849.4
2012-03-20T14:30:00+01:00,10.13,10.23,9.77,10.13,28736,54385.65
2012-03-21T14:30:00+01:00,10.18,10.18,9.87,9.92,55223,54494.85
2012-03-22T14:30:00+01:00,10.18,10.18,9.9,10.14,33235,52791.95
2012-03-23T14:30:00+01:00,10.13,10.43,10.11,10.25,41316,53914.75
2012-03-26T15:30:00+02:00,10.32,10.44,10.121,10.21,55734,54944.05
2012-03-27T15:30:00+02:00,10.21,10.46,9.98,10.09,84295,52476.15
2012-03-28T15:30:00+02:00,10.19,10.3818,10,10.06,46647,53226.75
2012-03-29T15:30:00+02:00,10.04,10.15,9.9,10.06,53126,54956.55
2012-03-30T15:30:00+02:00,10.09,10.5999,10.09,10.36,600234,84398.6
2012-04-02T15:30:00+02:00,10.39,10.5791,10.04,10.26,87998,87359.85
2012-04-03T15:30:00+02:00,10.2,10.34,10.16,10.27,57361,87422
2012-04-04T15:30:00+02:00,10.16,10.17,9.93,10.01,35459,87969.95
2012-04-05T15:30:00+02:00,10.0199,10.26,9.95,9.98,55964,88438.25
2012-04-09T15:30:00+02:00,9.89,9.89,9.16,9.33,123826,85792.1
2012-04-10T15:30:00+02:00,9.35,9.64,8.9,9.49,92421,88083.4
2012-04-11T15:30:00+02:00,9.53,9.77,9.53,9.64,38906,89320.05
2012-04-12T15:30:00+02:00,9.63,10.02,9.63,9.9,65955,90589.2
2012-04-13T15:30:00+02:00,9.91,10.065,9.42,9.44,24688,86993.9
2012-04-16T15:30:00+02:00,9.51,9.57,9.3,9.52,12748,81505.6
2012-04-17T15:30:00+02:00,9.64,9.93,9.63,9.66,39272,81657.2
2012-04-18T15:30:00+02:00,9.605,9.66,9.085,9.17,118779,86159.35
2012-04-19T15:30:00+02:00,9.3,9.455,9.16,9.19,16884,84242.4
2012-04-20T15:30:00+02:00,9.39,9.56,9.18,9.26,19542,83557.75
2012-04-23T15:30:00+02:00,9.16,9.17,8.9,9.01,45016,83742.75
2012-04-24T15:30:00+02:00,9.01,9.129,8.89,8.97,17111,81811.6
2012-04-25T15:30:00+02:00,9.09,9.09,8.8,8.9,32113,79202.5
2012-04-26T15:30:00+02:00,8.92,9.13,8.75,8.97,33122,78526.25
2012-04-27T15:30:00+02:00,8.97,9.16,8.97,9.12,14032,76571.55
2012-04-30T15:30:00+02:00,9.07,9.4,8.9,9.07,118406,52480.15
2012-05-01T15:30:00+02:00,9.11,9.23,9.01,9.01,46944,50427.45
2012-05-02T15:30:00+02:00,8.86,9.14,8.86,8.96,25868,48852.8
2012-05-03T15:30:00+02:00,8.9,9.12,8.811,9.08,50928,49626.25
2012-05-04T15:30:00+02:00,9.02,9.08,8.75,8.76,35991,48627.6
2012-05-07T15:30:00+02:00,8.78,8.84,8.62,8.66,20964,43484.5
2012-05-08T15:30:00+02:00,8.58,8.67,8.4,8.43,25292,40128.05
2012-05-09T15:30:00+02:00,8.37,8.63,8.37,8.43,49212,40643.35
2012-05-10T15:30:00+02:00,8.51,8.55,7.9401,8.07,51392,39915.2
2012-05-11T15:30:00+02:00,8.06,8.14,7.72,7.82,45733,40967.45
2012-05-14T15:30:00+02:00,7.75,7.77,7.3,7.31,76079,44134
