time,open,high,low,close,Volume,Volume MA
2009-01-15T15:30:00+01:00,74.7,76.7,74.00999,76.66,55594064,38492237.45
2009-01-16T15:30:00+01:00,77.62,78.45,76.52,78.10001,45529360,38155799.85
2009-01-20T15:30:00+01:00,77.08,78.63,76,76.28999,42841136,37312983.05
2009-01-21T15:30:00+01:00,76.255,79.38,76,79.25999,43318256,36054814.25
2009-01-22T15:30:00+01:00,77.69,78.92,76.59,78.23,40204640,36013923.05
2009-01-23T15:30:00+01:00,76.39999,78.8,75.78,78.03999,46022704,36677121.45
2009-01-26T15:30:00+01:00,78.675,80.17,77.87,78.60001,42762544,38248726.4
2009-01-27T15:30:00+01:00,78.27,79.42999,77.62,78.92,38516048,39321470.4
2009-01-28T15:30:00+01:00,79.37,79.60001,77.1413,79.25,45360192,40446788
2009-01-29T15:30:00+01:00,77.58,78,76.64,77,39095600,41145259.2
2009-01-30T15:30:00+01:00,78.25,78.89,76,76.48,51905296,42239035.2
2009-02-02T15:30:00+01:00,76.06,77.12,75.66,76.69,36113792,42253436.8
2009-02-03T15:30:00+01:00,76.85001,78.64,76.67,78.12,39574016,42063776.8
2009-02-04T15:30:00+01:00,78.55,78.89,77.05,77.66,29608800,41445709.6
2009-02-05T15:30:00+01:00,77.57001,79.92,76.42999,79.78,39603344,41658548
2009-02-06T15:30:00+01:00,78.81,80.49001,78.7,80.34,36404320,41937912
2009-02-09T15:30:00+01:00,80.39,80.5,78.7,79.48,27766352,41679548.8
2009-02-10T15:30:00+01:00,79.28,79.60001,75.69,76.14,43839616,41965744
2009-02-11T15:30:00+01:00,76.61,76.77,73.61,74.58,47910304,42004472
2009-02-12T15:30:00+01:00,73.57001,75.25,72.7,75.22,42859664,41741502.4
2009-02-13T15:30:00+01:00,74.99001,75.58,74.44,74.59,30388208,40481209.6
2009-02-17T15:30:00+01:00,72.72,72.91,71.16,71.28,41844240,40296953.6
2009-02-18T15:30:00+01:00,71.50999,72.58,71.27,71.94,34330912,39871442.4
2009-02-19T15:30:00+01:00,71.87,72.96001,71.77,72.16,31236032,39267331.2
2009-02-20T15:30:00+01:00,70.94,72.22,70.21001,71.23,42811776,39397688
2009-02-23T15:30:00+01:00,72.25,72.8,69.06,69.3,40719344,39132520
2009-02-24T15:30:00+01:00,69.72,72.28999,69.64999,72.09,48888368,39438811.2
2009-02-25T15:30:00+01:00,71.39999,73.49001,70.5,72.05,55508672,40288442.4
2009-02-26T15:30:00+01:00,71.77,73.48,70.87,70.95,37216208,39881243.2
2009-02-27T15:30:00+01:00,69.78999,70.23,67.89999,67.89999,64954592,41174192.8
2009-03-02T15:30:00+01:00,67,67.42999,64.84,64.91,54829056,41320380.8
2009-03-03T15:30:00+01:00,65.84,66.12,64.08,64.36,48931856,41961284
2009-03-04T15:30:00+01:00,65.56,66.53999,64.78999,65.67999,51516944,42558430.4
2009-03-05T15:30:00+01:00,64.17999,64.58,62.13,62.22,50248048,43590392.8
2009-03-06T15:30:00+01:00,62.98,64.59,61.86,64.03,47093280,43964889.6
2009-03-09T14:30:00+01:00,62.88,65.98,62.87,64.57001,42726688,44281008
